make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Fiat Tipo,Fiat,ES,21228,Station wagon,Pre-registered,5.0,9.0,Manual,Diesel,Dealer,95.0,6.0,Euro 6,1.0,Standart,Low,standard
Fiat Tipo,Fiat,ES,14500,Station wagon,Used,5.0,47689.0,Manual,Diesel,Dealer,70.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,24200,Station wagon,Pre-registered,5.0,8.0,Manual,Benzin,Dealer,74.0,5.0,Euro 6,0.0,Upgrated,Low,standard
Fiat Tipo,Fiat,ES,16990,Station wagon,Used,5.0,27280.0,Manual,Benzin,Dealer,73.0,5.0,Euro 6,2.0,Standart,Low,standard
Fiat 500,Fiat,ES,11900,Station wagon,Used,3.0,65000.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,5.0,Standart,Low,standard
Fiat 500L,Fiat,ES,10990,Station wagon,Used,5.0,89995.0,Manual,Benzin,Dealer,70.0,6.0,Other,7.0,Standart,Low,standard
Fiat 500L,Fiat,ES,13300,Station wagon,Used,5.0,38571.0,Manual,Benzin,Dealer,70.0,6.0,Euro 6,5.0,Standart,Low,standard
Fiat Panda,Fiat,DE,16399,Station wagon,Pre-registered,5.0,530.0,Manual,LPG/CNG,Dealer,51.0,5.0,Euro 6,0.0,Standart,Low,standard
Fiat Tipo,Fiat,DE,22250,Station wagon,Used,5.0,0.0,Manual,Benzin,Dealer,73.0,5.0,Euro 6,0.0,Upgrated,Low,standard
Fiat Panda,Fiat,DE,16399,Station wagon,Pre-registered,5.0,520.0,Manual,LPG/CNG,Dealer,51.0,5.0,Euro 6,0.0,Standart,Low,standard
Fiat Tipo,Fiat,ES,12400,Station wagon,Used,5.0,61245.0,Manual,Diesel,Dealer,70.0,5.0,Euro 6,3.0,Standart,Low,standard
Fiat 500,Fiat,ES,12990,Station wagon,Used,3.0,34599.0,Manual,Benzin,Dealer,51.0,6.0,Euro 6,2.0,Standart,Low,standard
Fiat 500,Fiat,ES,13595,Station wagon,Used,3.0,8000.0,Manual,Benzin,Dealer,51.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat 595 Abarth,Fiat,BE,18999,Sedan,Used,3.0,26000.0,Manual,Benzin,Dealer,121.0,6.0,Euro 6,3.0,Upgrated,Low,luxury
Fiat Punto,Fiat,BE,3350,Sedan,Used,5.0,202000.0,Manual,Benzin,Dealer,50.0,5.0,Euro 6,6.0,Standart,Low,standard
Fiat 500 Abarth,Fiat,BE,15990,Sedan,Used,3.0,31022.0,Manual,Benzin,Dealer,132.0,5.0,Euro 6,6.0,Standart,Low,standard
Fiat 500,Fiat,BE,19900,Sedan,Used,3.0,32500.0,Manual,Benzin,Dealer,118.0,5.0,Euro 6,4.0,Standart,Low,standard
Fiat 500 Abarth,Fiat,BE,17850,Sedan,Used,3.0,40000.0,Manual,Benzin,Dealer,118.0,5.0,Euro 6,4.0,Upgrated,Low,standard
Fiat Tipo,Fiat,ES,15190,Sedan,Used,5.0,75239.0,Manual,Diesel,Dealer,88.0,6.0,Euro 6,3.0,Standart,Low,standard
Fiat Punto Evo,Fiat,DE,4699,Sedan,Used,3.0,129500.0,Manual,Benzin,Dealer,99.0,5.0,Other,12.0,Standart,Low,standard
